Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Outcome,Home_Attack,Home_Defense,Away_Defense,Away_Attack,Home_Exp_Goals,Away_Exp_Goals,Power_Diff
2023-24,Kano Pillars,Bendel Insurance,0,0,Draw,1.44,0.58,1.11,0.61,1.27,0.59,0.68
2023-24,Kano Pillars,Doma United,3,1,Home Win,1.44,0.58,1.64,0.46,1.54,0.52,1.02
2023-24,Kano Pillars,Enugu Rangers,1,1,Draw,1.44,0.58,1.12,0.68,1.28,0.63,0.65
2023-24,Kano Pillars,Enyimba,1,0,Home Win,1.44,0.58,1.19,0.66,1.31,0.62,0.7
2023-24,Kano Pillars,Gombe United,4,0,Home Win,1.44,0.58,2.0,0.34,1.72,0.46,1.26
2023-24,Kano Pillars,Heartland,2,1,Home Win,1.44,0.58,1.6,0.51,1.52,0.54,0.97
2023-24,Kano Pillars,Katsina United,1,0,Home Win,1.44,0.58,1.46,0.28,1.45,0.43,1.02
2023-24,Kano Pillars,Kwara United,2,1,Home Win,1.44,0.58,1.59,0.59,1.52,0.59,0.93
2023-24,Kano Pillars,Lobi Stars,3,2,Home Win,1.44,0.58,1.64,0.58,1.54,0.58,0.96
2023-24,Kano Pillars,Niger Tornadoes,1,1,Draw,1.44,0.58,1.49,0.63,1.47,0.6,0.86
2023-24,Kano Pillars,Plateau United,2,1,Home Win,1.44,0.58,1.55,0.81,1.5,0.69,0.8
2023-24,Kano Pillars,Remo Stars,2,1,Home Win,1.44,0.58,1.38,0.75,1.41,0.67,0.74
2023-24,Kano Pillars,Rivers United,1,0,Home Win,1.44,0.58,1.15,0.7,1.3,0.64,0.66
2023-24,Kano Pillars,Shooting Stars,1,2,Away Win,1.44,0.58,1.52,0.64,1.48,0.61,0.87
2023-24,Kano Pillars,Sporting Lagos,1,0,Home Win,1.44,0.58,1.63,0.42,1.53,0.5,1.03
2023-24,Kano Pillars,Sunshine Stars,5,1,Home Win,1.44,0.58,1.42,0.45,1.43,0.52,0.91
2023-24,Katsina United,Abia Warriors,2,1,Home Win,1.59,0.58,1.72,0.8,1.65,0.69,0.97
2023-24,Katsina United,Akwa United,1,0,Home Win,1.59,0.58,1.35,0.56,1.47,0.57,0.9
2023-24,Katsina United,Bayelsa United,1,1,Draw,1.59,0.58,1.37,0.61,1.48,0.59,0.89
2023-24,Katsina United,Bendel Insurance,1,0,Home Win,1.59,0.58,1.11,0.61,1.35,0.59,0.76
2023-24,Katsina United,Doma United,2,0,Home Win,1.59,0.58,1.64,0.46,1.62,0.52,1.1
2023-24,Katsina United,Enugu Rangers,4,3,Home Win,1.59,0.58,1.12,0.68,1.36,0.63,0.73
2023-24,Katsina United,Enyimba,2,1,Home Win,1.59,0.58,1.19,0.66,1.39,0.62,0.77
2023-24,Katsina United,Gombe United,4,0,Home Win,1.59,0.58,2.0,0.34,1.8,0.46,1.34
2023-24,Katsina United,Heartland,1,1,Draw,1.59,0.58,1.6,0.51,1.6,0.54,1.05
2023-24,Katsina United,Kano Pillars,3,2,Home Win,1.59,0.58,1.73,0.67,1.66,0.62,1.04
2023-24,Katsina United,Kwara United,1,0,Home Win,1.59,0.58,1.59,0.59,1.59,0.59,1.01
2023-24,Katsina United,Lobi Stars,0,0,Draw,1.59,0.58,1.64,0.58,1.62,0.58,1.04
2023-24,Katsina United,Niger Tornadoes,1,0,Home Win,1.59,0.58,1.49,0.63,1.54,0.6,0.94
2023-24,Katsina United,Plateau United,2,1,Home Win,1.59,0.58,1.55,0.81,1.57,0.69,0.88
2023-24,Katsina United,Remo Stars,2,0,Home Win,1.59,0.58,1.38,0.75,1.49,0.67,0.82
2023-24,Katsina United,Rivers United,1,0,Home Win,1.59,0.58,1.15,0.7,1.37,0.64,0.73
2023-24,Katsina United,Shooting Stars,2,2,Draw,1.59,0.58,1.52,0.64,1.56,0.61,0.95
2023-24,Katsina United,Sporting Lagos,2,0,Home Win,1.59,0.58,1.63,0.42,1.61,0.5,1.11
2023-24,Katsina United,Sunshine Stars,3,2,Home Win,1.59,0.58,1.42,0.45,1.51,0.52,0.99
2023-24,Kwara United,Abia Warriors,1,0,Home Win,1.36,0.47,1.72,0.8,1.54,0.63,0.9
2023-24,Kwara United,Akwa United,1,0,Home Win,1.36,0.47,1.35,0.56,1.35,0.51,0.84
2023-24,Kwara United,Bayelsa United,1,0,Home Win,1.36,0.47,1.37,0.61,1.36,0.54,0.82
2023-24,Kwara United,Bendel Insurance,1,1,Draw,1.36,0.47,1.11,0.61,1.23,0.54,0.7
2023-24,Kwara United,Doma United,0,0,Draw,1.36,0.47,1.64,0.46,1.5,0.47,1.03
2023-24,Kwara United,Enugu Rangers,1,1,Draw,1.36,0.47,1.12,0.68,1.24,0.57,0.67
2023-24,Kwara United,Enyimba,2,1,Home Win,1.36,0.47,1.19,0.66,1.27,0.56,0.71
2023-24,Kwara United,Gombe United,2,0,Home Win,1.36,0.47,2.0,0.34,1.68,0.4,1.27
2023-24,Kwara United,Heartland,4,0,Home Win,1.36,0.47,1.6,0.51,1.48,0.49,0.99
2023-24,Kwara United,Kano Pillars,2,0,Home Win,1.36,0.47,1.73,0.67,1.55,0.57,0.98
2023-24,Kwara United,Katsina United,1,1,Draw,1.36,0.47,1.46,0.28,1.41,0.37,1.04
